supplier ID,printer,order completion time,material,category,resolution,Price (USD)
219645,Form 1+,2,Formlabs Standard Resin,Resin,100,2.36
214364,Monoprice MP Select Mini,2,Generic Standard PLA,ABS/PLA,200,2.62
212271,Rebel 2,3,Generic Standard PLA,ABS/PLA,150,2.66
212271,Rebel 2,3,Fillamentum ABS Extrafill,ABS/PLA Filled,150,2.66
212899,Mark 1,2,Generic Standard PLA,ABS/PLA,200,2.72
219645,Cetus,4,rigid.ink PLA,ABS/PLA,200,3.06
212271,Rebel 2,3,Generic Standard ASA,ASA,150,3.15
212271,Rebel 2,3,Generic Standard PETG,PET,150,3.15
MS3D,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,250,3.21
al3dprinting,Morgan Pro 2,2,Generic Standard PLA,ABS/PLA,300,3.5
128808,Printrbot Metal Plus,1,Generic Standard PLA,ABS/PLA,300,3.54
198879,Wanhao Duplicator i3 V2,1,Generic Standard PLA,ABS/PLA,300,3.58
198879,Kossel K800,1,Generic Standard PLA,ABS/PLA,300,3.58
198879,Wanhao Duplicator i3,1,Generic Standard ABS,ABS/PLA,300,3.58
207575,3DR Delta,2,Generic Standard PLA,ABS/PLA,100,3.58
MS3D,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,200,3.58
36736,Prusa Research Original Prusa i3 MK3,1,Generic Standard PLA,ABS/PLA,300,3.7
214364,Monoprice MP Select Mini,2,Generic Standard PLA,ABS/PLA,100,3.7
217781,Felix 3.0,3,Generic Standard PLA,ABS/PLA,150,3.75
217781,Felix 3.0,3,Generic Standard PLA,ABS/PLA,200,3.75
217781,Felix 3.0,3,Generic Standard PLA,ABS/PLA,250,3.75
212899,Mark 1,2,Generic Standard PLA,ABS/PLA,100,3.76
100385,Flashforge Guider 2,3,Generic Standard PLA,ABS/PLA,200,3.78
205940,Original Prusa i3 MK2,3,Generic Standard PLA,ABS/PLA,300,3.86
siegeam,Original Prusa i3 MK2,1,Generic Standard PLA,ABS/PLA,200,3.91
217781,Felix 3.0,3,Generic Standard PLA,ABS/PLA,100,3.92
128808,Printrbot Metal Plus,1,Generic Standard PLA,ABS/PLA,200,3.96
201462,Prusa i3 Hephestos,1,Generic Standard PLA,ABS/PLA,300,3.96
3dsolid,Ultimaker 2+ Extended,1,Generic Standard PLA,ABS/PLA,300,3.96
3dsolid,Tevo Little Monster,1,Generic Standard PLA,ABS/PLA,300,3.96
3dsolid,Tevo Black Widow,1,Generic Standard PLA,ABS/PLA,250,3.96
