trknum,CreateDate,ProductName,Topic,Subtopic,Platform,PageCount
7612385767,09MAR2018:19:46:11.680,SAS OnDemand for Academics: Enterprise Guide,log on,,win10,1
7612424389,20APR2018:16:26:28.773,SAS University Edition Basic vApp,shared folder,,mac x64,6
7612436330,04MAY2018:17:31:39.427,SAS OnDemand for Academics,log on,,,4
7612378076,02MAR2018:21:27:25.777,SAS OnDemand for Academics: Enterprise Miner,log on,,,10
7612327882,10JAN2018:19:18:53.630,SAS University Edition Basic vApp,update,,mac x64,9
7612267683,30OCT2017:19:35:46.350,SAS OnDemand for Academics,outage,workspace,,5
7612275023,07NOV2017:20:45:41.287,SAS University Edition Basic vApp,error,other,mac x64,4
7612546073,05SEP2018:01:16:16.620,External Web,SAS profile,activation e-mail,web browser,4
7612404335,29MAR2018:15:57:52.460,SAS University Edition Basic vApp,error,other,mac x64,22
7612424113,20APR2018:13:23:43.090,SAS University Edition Basic vApp,update,,mac x64,4
7612507861,24JUL2018:22:49:14.747,SAS University Edition Basic vApp,inquiry/interest,,mac x64,1
7612314428,20DEC2017:16:07:43.880,External Web,SAS profile,password reset,web browser,5
7612307512,13DEC2017:00:27:23.700,External Web,SAS profile,password reset,web browser,4
7612371635,26FEB2018:04:29:02.743,SAS University Edition Basic vApp,error,other,mac x64,7
7612468442,11JUN2018:16:38:30.033,SAS University Edition Basic vApp,performance,hanging,win10,1
7612552107,10SEP2018:17:55:02.867,SAS University Edition Basic vApp,usage,refered to communities,linux x64,1
7612391259,15MAR2018:18:15:09.190,SAS OnDemand for Academics,instructor data,,windows,4
7612532620,21AUG2018:16:31:17.790,External Web,SAS profile,password reset,web browser,6
7612513460,31JUL2018:09:46:09.677,SAS University Edition Basic vApp,update,,win10,9
7612487946,03JUL2018:05:12:09.277,SAS Ondemand for Academics: Control Center,log on,r&d assistance,,4
7612377861,02MAR2018:18:34:22.880,SAS University Edition Basic vApp,shared folder,,windows,6
7612532570,21AUG2018:16:00:20.010,SAS Ondemand for Academics: Control Center,performance,,linux x64,7
7612347195,31JAN2018:00:29:13.093,SAS University Edition Basic vApp,error,,win10,4
7612275037,07NOV2017:20:54:32.890,SAS University Edition Basic vApp,update,,win10,9
7612539543,28AUG2018:17:24:49.337,e-Learning,Outage,r&d assistance,win10,3
7612481092,25JUN2018:18:56:35.710,e-Learning,Activation/Access Problem,,,6
7612474731,18JUN2018:16:53:50.270,SAS University Edition Basic vApp,error,other,mac x64,9
7612539355,28AUG2018:15:58:48.067,External Web,SAS profile,profile creation,web browser,4
7612532902,21AUG2018:20:16:23.553,SAS Ondemand for Academics: Control Center,registration,r&d assistance,linux x64,2
7612456672,29MAY2018:09:00:13.723,SAS Store,SAS University Edition,,,4
7612474750,18JUN2018:17:08:03.273,SAS Solutions OnDemand,login problem,,windows,9
7612417854,13APR2018:12:59:44.217,External Web,SAS profile,,z/os,11
7612347071,30JAN2018:21:44:32.213,SAS OnDemand for Academics,no meaningful topic,,,4
7612391327,15MAR2018:19:24:59.150,SAS University Edition Basic vApp,error,other,winx64,6
7612474882,18JUN2018:19:04:21.740,SAS OnDemand for Academics: SAS Studio,no meaningful topic,,win10,4
7612468571,11JUN2018:18:00:05.013,SAS University Edition Basic vApp,inquiry/interest,,,1
7612378011,02MAR2018:20:43:56.917,SAS University Edition Basic vApp,error,other,win10,5
7612539511,28AUG2018:17:15:50.447,External Web,SAS profile,password reset,web browser,4
7612518940,06AUG2018:15:04:56.673,External Web,SAS profile,,web browser,4
7612539451,28AUG2018:16:52:49.117,e-Learning,Outage,r&d assistance,windows,4
7612538997,28AUG2018:12:58:46.190,External Web,SAS profile,password reset,web browser,4
7612449428,20MAY2018:12:14:03.007,External Web,SAS profile,profile creation error,web browser,4
7612545799,04SEP2018:19:28:54.137,Curriculum Pathways,installation,system requirements,windows,4
7612436090,04MAY2018:14:01:39.033,SAS University Edition Basic vApp,inquiry/interest,,mac x64,9
7612539549,28AUG2018:17:28:50.970,e-Learning,Outage,r&d assistance,win10,4
7612294150,28NOV2017:17:01:21.040,SAS University Edition Basic vApp,download,,winx64,1
7612552384,10SEP2018:22:40:20.393,SAS University Edition Basic vApp,usage,refered to communities,win10,1
7612334088,17JAN2018:16:14:04.377,SAS University Edition Basic vApp,download,,win10,4
7612545929,04SEP2018:21:04:13.050,SAS University Edition Basic vApp,error,other,windows,3
7612468865,11JUN2018:22:31:07.513,SAS University Edition Basic vApp,usage,,,8
7612430263,27APR2018:12:55:19.683,External Web,SAS profile,profile creation error,web browser,6
7612300887,05DEC2017:18:13:56.723,SAS University Edition Basic vApp,download,,,4
7612314221,20DEC2017:13:46:42.097,,,,,3
7612411302,06APR2018:12:33:06.203,SAS OnDemand for Academics,no meaningful topic,,win10,3
7612300953,05DEC2017:19:02:21.043,SAS Ondemand for Academics: Control Center,log on,,,5
7612474553,18JUN2018:15:01:02.423,SAS University Edition Basic vApp,update,,win10,4
7612539521,28AUG2018:17:17:50.797,e-Learning,Outage,r&d assistance,win10,4
7612468478,11JUN2018:17:03:08.457,SAS Ondemand for Academics: Control Center,log on,r&d assistance,,4
7612307387,12DEC2017:21:17:07.953,SAS University Edition Basic vApp,virtualbox,settings,win10,1
7612353448,06FEB2018:15:12:04.320,SAS University Edition Basic vApp,error,other,win10,5
7612539446,28AUG2018:16:49:06.323,SAS University Edition Basic vApp,inquiry/interest,,win10,1
7612385337,09MAR2018:14:34:09.633,SAS University Edition Basic vApp,error,other,win10,1
7612474340,18JUN2018:13:07:21.423,SAS University Edition Basic vApp,shared folder,,mac x64,1
7612398156,22MAR2018:19:44:38.447,SAS University Edition Basic vApp,download,,win8.1,8
7612507689,24JUL2018:19:49:47.577,External Web,SAS profile,deletion request,web browser,2
7612411228,06APR2018:10:40:41.117,SAS University Edition Basic vApp,download,,,11
7612461967,04JUN2018:14:18:33.893,SAS Store,SAS University Edition,,,6
7612501290,17JUL2018:20:40:19.953,General Product Information,documentation,,,4
7612525717,13AUG2018:23:44:26.297,External Web,SAS profile,activation e-mail,web browser,5
7612378255,03MAR2018:13:06:50.430,SAS University Edition Basic vApp,no meaningful topic,,mac x64,2
7612371309,24FEB2018:15:33:25.843,SAS OnDemand for Academics,log on,,,11
7612501034,17JUL2018:17:14:15.357,External Web,SAS profile,password reset,web browser,4
7612410860,05APR2018:21:53:14.057,SAS OnDemand for Academics: Enterprise Guide,log on,,win10,1
7612546121,05SEP2018:02:30:17.913,External Web,ondemand profile,,web browser,4
7612468473,11JUN2018:17:01:20.603,SAS University Edition Basic vApp,usage,,,1
7612334688,17JAN2018:22:24:22.727,SAS University Edition Basic vApp,error,other,win10,4
7612294393,28NOV2017:19:26:19.120,SAS Ondemand for Academics: Control Center,log on,,,4
7612539496,28AUG2018:17:08:48.940,External Web,SAS profile,password reset,web browser,2
7612436702,06MAY2018:01:34:07.570,SAS OnDemand for Academics: Enterprise Miner,instructor data,,win10,8
7612532373,21AUG2018:14:04:27.253,SAS University Edition Basic vApp,shared folder,,win10,6
7612371237,24FEB2018:04:28:16.147,SAS University Edition Basic vApp,error,other,win10,5
7612346799,30JAN2018:18:55:28.137,SAS OnDemand for Academics: Enterprise Guide,instructor data,,win10,1
7612365389,19FEB2018:17:02:41.787,SAS University Edition Basic vApp,error,other,win10,7
7612501409,17JUL2018:23:42:21.367,External Web,SAS profile,activation e-mail,web browser,4
7612398119,22MAR2018:19:21:28.100,SAS University Edition Basic vApp,jupyter notebook,,mac x64,3
7612474616,18JUN2018:15:36:10.510,SAS University Edition Basic vApp,shared folder,,winx64,15
7612365136,19FEB2018:14:47:46.767,SAS University Edition Basic vApp,usage,refered to faqs,win10,6
7612294335,28NOV2017:18:48:25.773,External Web,SAS profile,password reset,web browser,7
7612294171,28NOV2017:17:08:48.657,SAS Viya Trial,sas visual analytics,,,10
7612545792,04SEP2018:19:22:56.463,SAS OnDemand for Academics: Enterprise Miner,usage,,win10,5
7612353463,06FEB2018:15:19:15.027,External Web,SAS profile,activation e-mail,web browser,9
7612468900,11JUN2018:23:53:16.723,SAS University Edition Basic vApp,update,,win8,5
7612532213,21AUG2018:11:31:13.820,External Web,no meaningful topic,,web browser,4
7612546069,05SEP2018:01:10:16.537,External Web,SAS profile,activation e-mail,web browser,4
7612385293,09MAR2018:14:07:00.627,SAS University Edition Basic vApp,error,other,win10,9
7612365251,19FEB2018:15:56:10.733,,,,,4
7612525730,14AUG2018:00:20:34.957,SAS Ondemand for Academics: Control Center,log on,,linux x64,4
7612301368,06DEC2017:02:37:58.123,e-Learning,Sample data/practice files,,win10,4
7612334207,17JAN2018:17:38:41.890,External Web,SAS profile,password reset,web browser,4
7612546045,05SEP2018:00:16:22.140,External Web,SAS profile,password reset,web browser,7
7612353464,06FEB2018:15:19:19.513,External Web,SAS profile,activation e-mail,web browser,6
7612519293,06AUG2018:19:28:50.593,SAS University Edition Basic vApp,error,bios,win10,1
7612539366,28AUG2018:16:05:48.070,External Web,SAS profile,email update/change,web browser,5
7612371471,25FEB2018:16:36:47.477,SAS University Edition Basic vApp,error,other,win10,13
7612334752,17JAN2018:23:57:44.360,External Web,SAS profile,password reset,web browser,4
7612545644,04SEP2018:17:40:15.100,External Web,SAS profile,activation e-mail,web browser,4
7612365301,19FEB2018:16:24:08.573,SAS OnDemand for Academics,outage,,,5
7612334728,17JAN2018:23:07:51.127,Jupyter Notebook - SAS Kernel,installation,,,12
7612424126,20APR2018:13:32:31.620,e-Learning,Sample data/practice files,r&d assistance,win10,1
7612539449,28AUG2018:16:50:50.280,External Web,SAS profile,password reset,web browser,4
7612436590,05MAY2018:00:07:23.920,SAS OnDemand for Academics: SAS Studio,usage,,win10,4
7612267781,30OCT2017:20:59:36.680,External Web,SAS profile,profile creation error,web browser,5
7612385450,09MAR2018:15:42:03.803,e-Learning,Interest,,,4
7612398160,22MAR2018:19:48:26.610,SAS University Edition Basic vApp,shared folder,,mac x64,2
7612287637,20NOV2017:16:18:56.020,SAS University Edition Basic vApp,usage,refered to communities,,4
7612546066,05SEP2018:01:06:16.543,External Web,SAS profile,activation e-mail,web browser,6
7612539450,28AUG2018:16:50:54.673,e-Learning,Outage,r&d assistance,windows,2
7612494509,10JUL2018:17:31:08.807,SAS Viya Trial,log on,,,13
7612532429,21AUG2018:14:35:30.223,SAS University Edition Basic vApp,error,other,windows,4
7612487575,02JUL2018:18:47:04.953,External Web,SAS profile,activation e-mail,web browser,4
7612539501,28AUG2018:17:10:48.803,External Web,SAS profile,password reset,web browser,4
7612494390,10JUL2018:16:09:50.443,SAS University Edition Basic vApp,error,other,win10,4
7612307307,12DEC2017:19:57:24.247,SAS OnDemand for Academics,log on,,,5
7612268353,31OCT2017:14:23:48.357,SAS e-Learning Library,,,,9
7612365434,19FEB2018:17:33:48.603,Cheatsheet,options,,windows,2
7612287630,20NOV2017:16:13:09.680,External Web,SAS profile,activation e-mail,web browser,4
7612474875,18JUN2018:18:56:59.867,SAS Ondemand for Academics: Control Center,no meaningful topic,r&d assistance,linux x64,1
7612525820,14AUG2018:03:59:28.173,SAS University Edition Basic vApp,error,bios,win10,11
7612274762,07NOV2017:17:48:41.560,External Web,SAS profile,password reset,web browser,4
7612501187,17JUL2018:19:13:17.743,SAS Ondemand for Academics: Control Center,log on,,,4
7612321232,03JAN2018:16:09:38.953,SAS University Edition Basic vApp,virtualbox,settings,mac x64,1
7612500954,17JUL2018:16:16:17.853,Web Profile,no meaningful topic,,,4
7612519541,07AUG2018:01:40:31.270,External Web,SAS profile,password reset,web browser,2
7612328000,10JAN2018:20:30:10.987,SAS OnDemand for Academics,performance,,windows,3
7612378278,03MAR2018:16:22:53.687,External Web,SAS profile,password reset,web browser,4
7612480939,25JUN2018:16:45:50.400,SAS University Edition Basic vApp,error,other,win10,1
7612411446,06APR2018:14:10:50.117,SAS OnDemand for Academics,no meaningful topic,,,4
7612340203,24JAN2018:00:27:08.423,SAS University Edition Basic vApp,error,,win10,4
7612307447,12DEC2017:22:08:01.670,SAS University Edition Basic vApp,error,,win7,6
7612346969,30JAN2018:20:31:35.223,SAS University Edition Basic vApp,error,bios,win10,4
7612327685,10JAN2018:17:20:55.317,SAS University Edition Basic vApp,update,,win10,5
7612449625,21MAY2018:06:09:19.613,SAS OnDemand for Academics,log on,,,7
7612546115,05SEP2018:02:15:17.683,SAS OnDemand for Academics,registration,,win10,4
7612404403,29MAR2018:16:51:03.450,SAS University Edition Basic vApp,shared folder,,,8
7612539478,28AUG2018:17:02:59.383,External Web,SAS profile,password reset,web browser,5
7612462294,04JUN2018:18:19:17.977,SAS University Edition Basic vApp,download,,win10,6
7612488255,03JUL2018:11:30:17.663,SAS Ondemand for Academics: Control Center,log on,,,4
7612404833,30MAR2018:00:34:10.743,SAS University Edition Basic vApp,shared folder,,mac x64,4
7612385736,09MAR2018:19:21:29.573,SAS OnDemand for Academics: Enterprise Miner,log on,,win10,6
7612287927,20NOV2017:19:52:57.067,SAS Viya Trial,sas visual analytics,,,6
7612294227,28NOV2017:17:44:52.627,SAS OnDemand for Academics,no meaningful topic,,,5
7612314393,20DEC2017:15:48:36.393,SAS Viya Trial,sas visual analytics,,,1
7612513608,31JUL2018:12:43:11.053,SAS OnDemand for Academics,outage,dashboard,,5
7612300654,05DEC2017:15:45:51.953,External Web,SAS profile,password reset,web browser,4
7612539553,28AUG2018:17:29:51.390,e-Learning,Outage,,win10,4
7612552109,10SEP2018:17:57:40.747,General Product Information,installation,,,4
7612404282,29MAR2018:15:20:15.937,SAS University Edition Basic vApp,no meaningful topic,,,1
7612456353,28MAY2018:18:04:59.997,SAS University Edition Basic vApp,error,other,winx64,4
7612307386,12DEC2017:21:16:49.300,SAS University Edition Basic vApp,usage,,windows,1
7612385942,09MAR2018:22:27:28.763,SAS University Edition Basic vApp,shared folder,,mac x64,3
7612488313,03JUL2018:12:40:22.727,External Web,SAS profile,profile creation error,web browser,7
7612539482,28AUG2018:17:03:48.673,SAS OnDemand for Academics,registration,,win10,4
7612501252,17JUL2018:20:09:21.923,External Web,SAS profile,activation e-mail,web browser,4
7612371874,26FEB2018:10:04:03.780,SAS University Edition Basic vApp,error,other,win10,35
7612410869,05APR2018:22:12:22.533,External Web,SAS profile,password reset,web browser,10
7612507716,24JUL2018:20:04:51.070,SAS University Edition Basic vApp,update,,winx64,5
7612519469,06AUG2018:22:41:28.847,External Web,SAS profile,password reset,web browser,3
7612328005,10JAN2018:20:33:34.423,SAS University Edition Basic vApp,error,,,2
7612539486,28AUG2018:17:04:51.600,External Web,SAS profile,password reset,web browser,4
7612538759,28AUG2018:08:35:41.223,External Web,SAS profile,password reset,web browser,3
7612462512,04JUN2018:21:40:37.083,SAS University Edition Basic vApp,usage,refered to faqs,mac x64,6
7612539558,28AUG2018:17:31:51.130,e-Learning,Outage,r&d assistance,win10,4
7612300919,05DEC2017:18:39:10.857,SAS OnDemand for Academics,options,,windows,1
7612539442,28AUG2018:16:46:48.783,e-Learning,Outage,r&d assistance,windows,2
